image,xmin,ymin,xmax,ymax,label
kieu_1/IMG_20200629_082510.jpg,1506,758,1772,1316,5
kieu_1/IMG_20200629_082522.jpg,293,109,553,649,6
kieu_1/IMG_20200629_082522.jpg,548,93,809,662,7
kieu_1/IMG_20200629_082522.jpg,1025,105,1299,652,G
kieu_1/IMG_20200629_082522.jpg,1317,102,1534,660,1
kieu_1/IMG_20200629_082522.jpg,152,708,395,1226,2
kieu_1/IMG_20200629_082522.jpg,452,716,686,1244,1
kieu_1/IMG_20200629_082522.jpg,725,721,999,1239,9
kieu_1/IMG_20200629_082522.jpg,1126,726,1388,1254,3
kieu_1/IMG_20200629_082522.jpg,1441,735,1700,1250,0
kieu_1/IMG_20200629_082540.jpg,250,118,480,603,4
kieu_1/IMG_20200629_082540.jpg,488,111,704,608,7
kieu_1/IMG_20200629_082540.jpg,906,111,1172,612,K
kieu_1/IMG_20200629_082540.jpg,1180,103,1376,626,1
kieu_1/IMG_20200629_082540.jpg,138,656,331,1139,1
kieu_1/IMG_20200629_082540.jpg,357,658,595,1144,7
kieu_1/IMG_20200629_082540.jpg,642,663,887,1150,3
kieu_1/IMG_20200629_082540.jpg,1025,660,1249,1147,4
kieu_1/IMG_20200629_082540.jpg,1304,660,1550,1155,9
kieu_1/IMG_20200629_082544.jpg,231,120,431,540,4
kieu_1/IMG_20200629_082544.jpg,446,121,653,552,3
kieu_1/IMG_20200629_082544.jpg,826,115,1041,535,D
kieu_1/IMG_20200629_082544.jpg,1061,107,1236,529,1
kieu_1/IMG_20200629_082544.jpg,125,591,325,992,8
kieu_1/IMG_20200629_082544.jpg,368,593,567,990,2
kieu_1/IMG_20200629_082544.jpg,622,579,804,980,0
kieu_1/IMG_20200629_082544.jpg,914,573,1101,967,5
kieu_1/IMG_20200629_082544.jpg,1154,567,1345,972,0
kieu_1/IMG_20200629_082555.jpg,242,138,472,613,6
kieu_1/IMG_20200629_082555.jpg,473,128,699,625,6
kieu_1/IMG_20200629_082555.jpg,905,124,1149,628,B
kieu_1/IMG_20200629_082555.jpg,1157,118,1360,628,1
kieu_1/IMG_20200629_082555.jpg,119,657,333,1121,5
kieu_1/IMG_20200629_082555.jpg,385,673,607,1127,9
kieu_1/IMG_20200629_082555.jpg,643,670,877,1133,3
kieu_1/IMG_20200629_082555.jpg,998,662,1230,1152,2
kieu_1/IMG_20200629_082555.jpg,1288,669,1506,1151,4
kieu_1/IMG_20200629_082553.jpg,216,101,444,548,6
kieu_1/IMG_20200629_082553.jpg,455,107,651,560,0
kieu_1/IMG_20200629_082553.jpg,835,100,1053,559,B
kieu_1/IMG_20200629_082553.jpg,1064,93,1268,563,6
kieu_1/IMG_20200629_082553.jpg,111,602,301,1047,4
kieu_1/IMG_20200629_082553.jpg,354,596,564,1049,4
kieu_1/IMG_20200629_082553.jpg,615,600,837,1037,2
kieu_1/IMG_20200629_082553.jpg,939,593,1143,1039,0
kieu_1/IMG_20200629_082553.jpg,1200,590,1407,1033,0
kieu_1/IMG_20200629_082600.jpg,248,149,459,544,6
kieu_1/IMG_20200629_082600.jpg,452,165,641,551,0
kieu_1/IMG_20200629_082600.jpg,820,155,1035,565,H
kieu_1/IMG_20200629_082600.jpg,1032,153,1270,572,9
kieu_1/IMG_20200629_082600.jpg,264,571,478,981,7
kieu_1/IMG_20200629_082600.jpg,529,582,729,958,3
kieu_1/IMG_20200629_082600.jpg,780,589,965,969,4
kieu_1/IMG_20200629_082600.jpg,1031,594,1235,980,4
kieu_1/IMG_20200629_082612.jpg,252,102,508,609,5
kieu_1/IMG_20200629_082612.jpg,507,110,739,606,9
kieu_1/IMG_20200629_082612.jpg,975,122,1198,632,Y
kieu_1/IMG_20200629_082612.jpg,1211,120,1458,636,2
kieu_1/IMG_20200629_082612.jpg,115,654,335,1146,4
kieu_1/IMG_20200629_082612.jpg,383,646,632,1155,0
kieu_1/IMG_20200629_082612.jpg,666,666,924,1165,9
kieu_1/IMG_20200629_082612.jpg,1038,667,1288,1173,5
kieu_1/IMG_20200629_082612.jpg,1319,672,1572,1176,4
kieu_1/IMG_20200629_082607.jpg,208,94,420,515,8
kieu_1/IMG_20200629_082607.jpg,417,93,617,527,6
kieu_1/IMG_20200629_082607.jpg,787,100,985,523,B
kieu_1/IMG_20200629_082607.jpg,995,102,1205,550,5
kieu_1/IMG_20200629_082607.jpg,125,550,274,952,1
kieu_1/IMG_20200629_082607.jpg,320,562,519,969,6
kieu_1/IMG_20200629_082607.jpg,546,567,771,974,2
kieu_1/IMG_20200629_082607.jpg,869,572,1053,986,4
kieu_1/IMG_20200629_082607.jpg,1118,575,1316,979,3
kieu_1/IMG_20200629_082603.jpg,215,75,414,515,7
kieu_1/IMG_20200629_082603.jpg,417,79,611,514,6
kieu_1/IMG_20200629_082603.jpg,801,82,1017,535,E
kieu_1/IMG_20200629_082603.jpg,1038,91,1218,527,1
kieu_1/IMG_20200629_082603.jpg,80,560,281,996,4
kieu_1/IMG_20200629_082603.jpg,320,572,526,1001,0
kieu_1/IMG_20200629_082603.jpg,580,573,764,1012,1
kieu_1/IMG_20200629_082603.jpg,872,574,1099,1029,8
kieu_1/IMG_20200629_082603.jpg,1140,573,1343,1022,2
kieu_1/IMG_20200629_082619.jpg,229,116,498,622,3
kieu_1/IMG_20200629_082619.jpg,502,106,740,632,6
kieu_1/IMG_20200629_082619.jpg,956,104,1204,605,B
kieu_1/IMG_20200629_082619.jpg,1201,93,1434,609,7
kieu_1/IMG_20200629_082619.jpg,402,683,650,1185,6
kieu_1/IMG_20200629_082619.jpg,693,673,916,1188,2
kieu_1/IMG_20200629_082619.jpg,1075,659,1294,1167,9
kieu_1/IMG_20200629_082619.jpg,1340,655,1559,1162,5
kieu_1/IMG_20200629_082619.jpg,165,689,358,1196,1
kieu_1/IMG_20200629_082626.jpg,291,129,564,720,7
kieu_1/IMG_20200629_082626.jpg,572,126,856,734,8
kieu_1/IMG_20200629_082626.jpg,1109,123,1355,711,A
kieu_1/IMG_20200629_082626.jpg,1362,115,1648,719,F
kieu_1/IMG_20200629_082626.jpg,159,779,444,1339,0
kieu_1/IMG_20200629_082626.jpg,492,774,752,1345,0
kieu_1/IMG_20200629_082626.jpg,791,769,1077,1339,9
kieu_1/IMG_20200629_082626.jpg,1206,779,1478,1335,7
kieu_1/IMG_20200629_082626.jpg,1517,769,1802,1335,4
kieu_1/IMG_20200629_082643.jpg,187,86,385,464,6
kieu_1/IMG_20200629_082643.jpg,383,80,568,472,7
kieu_1/IMG_20200629_082643.jpg,715,85,927,497,K
kieu_1/IMG_20200629_082643.jpg,939,87,1081,502,1
kieu_1/IMG_20200629_082643.jpg,81,528,250,899,3
kieu_1/IMG_20200629_082643.jpg,300,516,458,904,1
kieu_1/IMG_20200629_082643.jpg,501,531,694,908,0
kieu_1/IMG_20200629_082643.jpg,792,538,968,921,2
kieu_1/IMG_20200629_082643.jpg,1015,548,1210,934,3
kieu_1/IMG_20200629_082648.jpg,198,85,382,460,6
kieu_1/IMG_20200629_082648.jpg,383,82,561,466,0
kieu_1/IMG_20200629_082648.jpg,718,84,898,477,B
kieu_1/IMG_20200629_082648.jpg,931,93,1066,482,1
kieu_1/IMG_20200629_082648.jpg,101,504,268,866,2
kieu_1/IMG_20200629_082648.jpg,295,504,480,867,4
kieu_1/IMG_20200629_082648.jpg,514,510,690,873,4
kieu_1/IMG_20200629_082648.jpg,777,510,967,875,7
kieu_1/IMG_20200629_082648.jpg,996,511,1185,880,0
kieu_1/IMG_20200629_082630.jpg,246,99,484,595,8
kieu_1/IMG_20200629_082630.jpg,488,97,706,585,6
kieu_1/IMG_20200629_082630.jpg,914,105,1140,601,C
kieu_1/IMG_20200629_082630.jpg,1172,97,1346,595,1
kieu_1/IMG_20200629_082630.jpg,115,633,341,1109,7
kieu_1/IMG_20200629_082630.jpg,395,633,609,1107,3
kieu_1/IMG_20200629_082630.jpg,651,627,887,1109,7
kieu_1/IMG_20200629_082630.jpg,1008,618,1233,1093,5
kieu_1/IMG_20200629_082630.jpg,1263,616,1496,1098,4
kieu_1/IMG_20200629_082636.jpg,274,109,532,659,5
kieu_1/IMG_20200629_082636.jpg,545,130,803,703,9
kieu_1/IMG_20200629_082636.jpg,1054,128,1298,670,X
kieu_1/IMG_20200629_082636.jpg,1316,131,1528,686,1
kieu_1/IMG_20200629_082636.jpg,155,719,395,1230,4
kieu_1/IMG_20200629_082636.jpg,451,728,701,1227,6
kieu_1/IMG_20200629_082636.jpg,749,726,987,1231,9
kieu_1/IMG_20200629_082636.jpg,1116,729,1362,1236,9
kieu_1/IMG_20200629_082636.jpg,1413,728,1668,1233,9
kieu_1/IMG_20200629_082638.jpg,260,99,516,636,7
kieu_1/IMG_20200629_082638.jpg,496,94,751,639,7
kieu_1/IMG_20200629_082638.jpg,997,100,1273,652,E
kieu_1/IMG_20200629_082638.jpg,1268,106,1510,653,1
kieu_1/IMG_20200629_082638.jpg,129,697,375,1198,4
kieu_1/IMG_20200629_082638.jpg,420,697,650,1208,9
kieu_1/IMG_20200629_082638.jpg,713,711,952,1215,9
kieu_1/IMG_20200629_082638.jpg,1082,701,1331,1226,4
kieu_1/IMG_20200629_082638.jpg,1421,709,1620,1232,1
kieu_1/IMG_20200629_082656.jpg,156,72,308,414,7
kieu_1/IMG_20200629_082656.jpg,319,82,469,409,2
kieu_1/IMG_20200629_082656.jpg,621,76,779,407,X
kieu_1/IMG_20200629_082656.jpg,782,72,949,418,2
kieu_1/IMG_20200629_082656.jpg,164,431,325,754,8
kieu_1/IMG_20200629_082656.jpg,375,431,523,756,6
kieu_1/IMG_20200629_082656.jpg,566,437,733,762,2
kieu_1/IMG_20200629_082656.jpg,767,439,939,762,7
kieu_1/IMG_20200629_082707.jpg,182,82,367,456,4
kieu_1/IMG_20200629_082707.jpg,363,78,537,442,7
kieu_1/IMG_20200629_082707.jpg,699,72,869,443,A
kieu_1/IMG_20200629_082707.jpg,870,70,1046,444,B
kieu_1/IMG_20200629_082707.jpg,134,485,280,822,1
kieu_1/IMG_20200629_082707.jpg,320,478,487,818,0
kieu_1/IMG_20200629_082707.jpg,514,474,681,817,7
kieu_1/IMG_20200629_082707.jpg,774,470,938,813,7
kieu_1/IMG_20200629_082707.jpg,970,469,1152,820,0
kieu_1/IMG_20200629_082659.jpg,192,94,354,416,6
kieu_1/IMG_20200629_082659.jpg,364,79,513,414,0
kieu_1/IMG_20200629_082659.jpg,665,78,809,413,A
kieu_1/IMG_20200629_082659.jpg,822,74,980,419,A
kieu_1/IMG_20200629_082659.jpg,121,451,261,770,1
kieu_1/IMG_20200629_082659.jpg,280,452,449,772,2
kieu_1/IMG_20200629_082659.jpg,487,457,646,762,0
kieu_1/IMG_20200629_082659.jpg,725,444,886,767,4
kieu_1/IMG_20200629_082659.jpg,919,445,1081,764,6
kieu_1/IMG_20200629_082702.jpg,183,92,356,441,7
kieu_1/IMG_20200629_082702.jpg,362,87,521,443,0
kieu_1/IMG_20200629_082702.jpg,664,85,833,453,H
kieu_1/IMG_20200629_082702.jpg,847,82,985,450,1
kieu_1/IMG_20200629_082702.jpg,75,467,260,820,0
kieu_1/IMG_20200629_082702.jpg,277,483,450,828,6
kieu_1/IMG_20200629_082702.jpg,500,468,625,826,1
kieu_1/IMG_20200629_082702.jpg,722,469,895,824,9
kieu_1/IMG_20200629_082702.jpg,934,473,1093,833,8
kieu_1/IMG_20200629_082651.jpg,199,95,386,486,7
kieu_1/IMG_20200629_082651.jpg,388,94,569,486,7
kieu_1/IMG_20200629_082651.jpg,715,98,915,491,G
kieu_1/IMG_20200629_082651.jpg,941,101,1091,479,1
kieu_1/IMG_20200629_082651.jpg,104,507,293,885,3
kieu_1/IMG_20200629_082651.jpg,318,502,499,881,8
kieu_1/IMG_20200629_082651.jpg,516,512,709,887,7
kieu_1/IMG_20200629_082651.jpg,800,513,997,895,2
kieu_1/IMG_20200629_082651.jpg,1029,510,1219,888,3
kieu_1/IMG_20200629_082727.jpg,149,71,325,401,9
kieu_1/IMG_20200629_082727.jpg,328,66,469,405,3
kieu_1/IMG_20200629_082727.jpg,598,66,775,401,L
kieu_1/IMG_20200629_082727.jpg,787,59,915,399,1
kieu_1/IMG_20200629_082727.jpg,78,436,255,761,3
kieu_1/IMG_20200629_082727.jpg,270,434,425,759,4
kieu_1/IMG_20200629_082727.jpg,449,428,606,754,6
kieu_1/IMG_20200629_082727.jpg,692,426,844,740,6
kieu_1/IMG_20200629_082727.jpg,879,420,1038,748,9
kieu_1/IMG_20200629_082719.jpg,191,65,368,429,7
kieu_1/IMG_20200629_082719.jpg,373,63,546,433,8
kieu_1/IMG_20200629_082719.jpg,695,67,890,451,H
kieu_1/IMG_20200629_082719.jpg,890,65,1040,445,1
kieu_1/IMG_20200629_082719.jpg,91,476,261,836,0
kieu_1/IMG_20200629_082719.jpg,299,486,463,839,4
kieu_1/IMG_20200629_082719.jpg,503,491,675,844,6
kieu_1/IMG_20200629_082719.jpg,766,493,951,844,5
kieu_1/IMG_20200629_082719.jpg,965,498,1164,868,2
kieu_1/IMG_20200629_082715.jpg,180,74,348,430,6
kieu_1/IMG_20200629_082715.jpg,346,71,515,432,4
kieu_1/IMG_20200629_082715.jpg,652,73,824,414,F
kieu_1/IMG_20200629_082715.jpg,825,69,957,424,1
kieu_1/IMG_20200629_082715.jpg,106,447,274,773,4
kieu_1/IMG_20200629_082715.jpg,292,455,450,769,0
kieu_1/IMG_20200629_082715.jpg,485,441,616,771,1
kieu_1/IMG_20200629_082715.jpg,728,447,886,782,7
kieu_1/IMG_20200629_082715.jpg,925,449,1058,787,1
kieu_1/IMG_20200629_082723.jpg,151,84,317,413,7
kieu_1/IMG_20200629_082723.jpg,318,80,479,408,9
kieu_1/IMG_20200629_082723.jpg,633,89,792,422,H
kieu_1/IMG_20200629_082723.jpg,791,77,954,435,4
kieu_1/IMG_20200629_082723.jpg,159,446,341,775,2
kieu_1/IMG_20200629_082723.jpg,387,450,533,771,0
kieu_1/IMG_20200629_082723.jpg,585,445,756,780,5
kieu_1/IMG_20200629_082723.jpg,789,458,963,781,8
kieu_1/IMG_20200629_082710.jpg,174,97,359,461,6
kieu_1/IMG_20200629_082710.jpg,361,92,522,462,0
kieu_1/IMG_20200629_082710.jpg,666,90,850,459,C
kieu_1/IMG_20200629_082710.jpg,877,84,1004,452,1
kieu_1/IMG_20200629_082710.jpg,96,487,259,831,7
kieu_1/IMG_20200629_082710.jpg,297,486,465,841,0
kieu_1/IMG_20200629_082710.jpg,513,487,648,829,1
kieu_1/IMG_20200629_082710.jpg,751,481,919,833,7
kieu_1/IMG_20200629_082710.jpg,966,478,1118,828,6
kieu_1/IMG_20200629_082734.jpg,151,68,306,388,4
kieu_1/IMG_20200629_082734.jpg,308,74,457,392,9
kieu_1/IMG_20200629_082734.jpg,599,71,746,389,T
kieu_1/IMG_20200629_082734.jpg,756,73,905,392,6
kieu_1/IMG_20200629_082734.jpg,168,407,323,707,9
kieu_1/IMG_20200629_082734.jpg,366,408,519,699,0
kieu_1/IMG_20200629_082734.jpg,558,405,705,714,7
kieu_1/IMG_20200629_082734.jpg,745,408,908,703,4
kieu_1/IMG_20200629_082731.jpg,170,59,341,423,8
kieu_1/IMG_20200629_082731.jpg,341,67,508,433,2
kieu_1/IMG_20200629_082731.jpg,658,70,839,446,R
kieu_1/IMG_20200629_082731.jpg,849,71,967,439,1
kieu_1/IMG_20200629_082731.jpg,147,453,346,783,0
kieu_1/IMG_20200629_082731.jpg,590,468,775,800,8
kieu_1/IMG_20200629_082731.jpg,391,455,550,794,8
kieu_1/IMG_20200629_082731.jpg,817,464,999,802,9
kieu_1/IMG_20200629_082737.jpg,122,63,268,346,9
kieu_1/IMG_20200629_082737.jpg,268,68,405,355,2
kieu_1/IMG_20200629_082737.jpg,532,69,679,362,H
kieu_1/IMG_20200629_082737.jpg,680,65,819,375,2
kieu_1/IMG_20200629_082737.jpg,137,378,285,650,6
kieu_1/IMG_20200629_082737.jpg,309,377,446,667,5
kieu_1/IMG_20200629_082737.jpg,489,381,627,670,5
kieu_1/IMG_20200629_082737.jpg,669,392,808,680,6
kieu_1/IMG_20200629_082742.jpg,193,83,354,427,7
kieu_1/IMG_20200629_082742.jpg,362,93,523,434,2
kieu_1/IMG_20200629_082742.jpg,658,86,839,435,F
kieu_1/IMG_20200629_082742.jpg,849,82,986,437,1
kieu_1/IMG_20200629_082742.jpg,101,462,258,800,7
kieu_1/IMG_20200629_082742.jpg,297,458,455,805,2
kieu_1/IMG_20200629_082742.jpg,484,462,653,803,7
kieu_1/IMG_20200629_082742.jpg,744,463,904,808,8
kieu_1/IMG_20200629_082742.jpg,938,462,1101,803,8
kieu_1/IMG_20200629_082745.jpg,189,88,354,437,3
kieu_1/IMG_20200629_082745.jpg,351,82,522,431,8
kieu_1/IMG_20200629_082745.jpg,681,77,859,427,N
kieu_1/IMG_20200629_082745.jpg,877,73,1008,441,1
kieu_1/IMG_20200629_082745.jpg,201,489,369,824,3
kieu_1/IMG_20200629_082745.jpg,419,471,574,830,0
kieu_1/IMG_20200629_082745.jpg,626,481,801,817,9
kieu_1/IMG_20200629_082745.jpg,857,474,1034,830,4
kieu_1/IMG_20200629_082749.jpg,174,82,345,460,7
kieu_1/IMG_20200629_082749.jpg,357,85,524,462,2
kieu_1/IMG_20200629_082749.jpg,661,89,848,468,C
kieu_1/IMG_20200629_082749.jpg,856,87,1006,467,1
kieu_1/IMG_20200629_082749.jpg,73,490,247,841,4
kieu_1/IMG_20200629_082749.jpg,277,490,444,838,0
kieu_1/IMG_20200629_082749.jpg,476,483,660,839,5
kieu_1/IMG_20200629_082749.jpg,728,491,906,842,8
kieu_1/IMG_20200629_082749.jpg,946,484,1118,851,2
kieu_1/IMG_20200629_082808.jpg,156,76,333,437,6
kieu_1/IMG_20200629_082808.jpg,343,76,502,440,0
kieu_1/IMG_20200629_082808.jpg,642,70,805,427,B
kieu_1/IMG_20200629_082808.jpg,813,69,982,441,2
kieu_1/IMG_20200629_082808.jpg,65,451,246,807,0
kieu_1/IMG_20200629_082808.jpg,263,461,428,813,6
kieu_1/IMG_20200629_082808.jpg,457,460,634,808,2
kieu_1/IMG_20200629_082808.jpg,706,454,880,799,2
kieu_1/IMG_20200629_082808.jpg,907,456,1077,806,6
kieu_1/IMG_20200629_082804.jpg,190,105,386,477,6
kieu_1/IMG_20200629_082804.jpg,394,93,574,489,5
kieu_1/IMG_20200629_082804.jpg,739,102,928,487,H
kieu_1/IMG_20200629_082804.jpg,925,87,1114,496,8
kieu_1/IMG_20200629_082804.jpg,208,529,403,902,4
kieu_1/IMG_20200629_082804.jpg,458,523,643,892,9
kieu_1/IMG_20200629_082804.jpg,690,502,893,880,3
kieu_1/IMG_20200629_082804.jpg,920,510,1120,894,7
kieu_1/IMG_20200629_082759.jpg,144,72,323,401,5
kieu_1/IMG_20200629_082759.jpg,328,83,444,400,1
kieu_1/IMG_20200629_082759.jpg,603,81,764,399,U
kieu_1/IMG_20200629_082759.jpg,766,73,913,404,6
kieu_1/IMG_20200629_082759.jpg,171,425,316,735,7
kieu_1/IMG_20200629_082759.jpg,365,424,527,743,4
kieu_1/IMG_20200629_082759.jpg,558,426,723,743,7
kieu_1/IMG_20200629_082759.jpg,761,431,889,736,1
kieu_1/IMG_20200629_082753.jpg,192,66,385,454,8
kieu_1/IMG_20200629_082753.jpg,386,66,520,445,1
kieu_1/IMG_20200629_082753.jpg,706,59,905,458,K
kieu_1/IMG_20200629_082753.jpg,906,60,1077,458,3
kieu_1/IMG_20200629_082753.jpg,196,481,383,845,9
kieu_1/IMG_20200629_082753.jpg,416,473,607,850,4
kieu_1/IMG_20200629_082753.jpg,656,474,839,856,5
kieu_1/IMG_20200629_082753.jpg,883,476,1081,845,9
kieu_1/IMG_20200629_082838.jpg,169,74,322,388,6
kieu_1/IMG_20200629_082838.jpg,328,78,479,392,4
kieu_1/IMG_20200629_082838.jpg,617,74,770,389,F
kieu_1/IMG_20200629_082838.jpg,775,74,913,389,1
kieu_1/IMG_20200629_082838.jpg,74,415,220,735,0
kieu_1/IMG_20200629_082838.jpg,252,417,404,737,6
kieu_1/IMG_20200629_082838.jpg,441,418,597,735,9
kieu_1/IMG_20200629_082838.jpg,677,412,836,741,8
kieu_1/IMG_20200629_082838.jpg,868,410,1025,745,2
kieu_1/IMG_20200629_082833.jpg,164,75,321,411,8
kieu_1/IMG_20200629_082833.jpg,326,76,472,408,4
kieu_1/IMG_20200629_082833.jpg,612,76,769,406,B
kieu_1/IMG_20200629_082833.jpg,773,80,903,400,1
kieu_1/IMG_20200629_082833.jpg,71,436,234,756,6
kieu_1/IMG_20200629_082833.jpg,260,437,405,748,3
kieu_1/IMG_20200629_082833.jpg,447,429,597,752,4
kieu_1/IMG_20200629_082833.jpg,677,424,820,739,3
kieu_1/IMG_20200629_082833.jpg,837,423,997,745,7
kieu_1/IMG_20200629_082823.jpg,214,87,370,442,6
kieu_1/IMG_20200629_082823.jpg,378,89,545,446,0
kieu_1/IMG_20200629_082823.jpg,675,87,848,455,H
kieu_1/IMG_20200629_082823.jpg,867,89,1002,440,1
kieu_1/IMG_20200629_082823.jpg,92,483,269,822,2
kieu_1/IMG_20200629_082823.jpg,310,482,466,812,0
kieu_1/IMG_20200629_082823.jpg,502,473,668,810,2
kieu_1/IMG_20200629_082823.jpg,761,466,913,798,8
kieu_1/IMG_20200629_082823.jpg,976,456,1096,795,1
kieu_1/IMG_20200629_082828.jpg,137,62,299,373,6
kieu_1/IMG_20200629_082828.jpg,294,67,444,378,6
kieu_1/IMG_20200629_082828.jpg,568,66,725,374,G
kieu_1/IMG_20200629_082828.jpg,735,69,855,373,1
kieu_1/IMG_20200629_082828.jpg,64,401,221,694,0
kieu_1/IMG_20200629_082828.jpg,240,404,401,692,2
kieu_1/IMG_20200629_082828.jpg,421,399,564,699,8
kieu_1/IMG_20200629_082828.jpg,637,407,779,700,0
kieu_1/IMG_20200629_082828.jpg,802,400,955,697,5
kieu_1/IMG_20200629_082845.jpg,183,80,360,454,7
kieu_1/IMG_20200629_082845.jpg,380,89,550,457,2
kieu_1/IMG_20200629_082845.jpg,707,89,883,449,C
kieu_1/IMG_20200629_082845.jpg,894,78,1033,458,1
kieu_1/IMG_20200629_082845.jpg,109,479,294,839,0
kieu_1/IMG_20200629_082845.jpg,313,481,492,843,4
kieu_1/IMG_20200629_082845.jpg,517,486,697,839,0
kieu_1/IMG_20200629_082845.jpg,781,489,950,836,0
kieu_1/IMG_20200629_082845.jpg,991,480,1169,845,8
kieu_1/IMG_20200629_082853.jpg,153,66,300,371,8
kieu_1/IMG_20200629_082853.jpg,302,67,441,372,6
kieu_1/IMG_20200629_082853.jpg,582,74,735,383,K
kieu_1/IMG_20200629_082853.jpg,742,59,901,380,2
kieu_1/IMG_20200629_082853.jpg,151,403,314,667,9
kieu_1/IMG_20200629_082853.jpg,346,390,507,679,5
kieu_1/IMG_20200629_082853.jpg,536,401,686,689,4
kieu_1/IMG_20200629_082853.jpg,736,397,889,681,0
kieu_1/IMG_20200629_082850.jpg,127,61,281,356,7
kieu_1/IMG_20200629_082850.jpg,289,54,428,365,7
kieu_1/IMG_20200629_082850.jpg,549,64,695,371,E
kieu_1/IMG_20200629_082850.jpg,710,61,808,378,1
kieu_1/IMG_20200629_082850.jpg,62,383,207,684,5
kieu_1/IMG_20200629_082850.jpg,223,386,370,688,9
kieu_1/IMG_20200629_082850.jpg,398,389,538,688,6
kieu_1/IMG_20200629_082850.jpg,608,394,751,693,5
kieu_1/IMG_20200629_082850.jpg,779,393,928,697,5
kieu_1/IMG_20200629_082902.jpg,115,50,258,317,6
kieu_1/IMG_20200629_082902.jpg,251,54,372,326,3
kieu_1/IMG_20200629_082902.jpg,467,57,595,317,B
kieu_1/IMG_20200629_082902.jpg,591,50,714,313,7
kieu_1/IMG_20200629_082902.jpg,48,351,172,610,2
kieu_1/IMG_20200629_082902.jpg,205,342,312,607,1
kieu_1/IMG_20200629_082902.jpg,354,346,465,596,3
kieu_1/IMG_20200629_082902.jpg,522,344,644,591,2
kieu_1/IMG_20200629_082902.jpg,665,338,784,584,7
kieu_1/IMG_20200629_082906.jpg,140,60,303,378,7
kieu_1/IMG_20200629_082906.jpg,298,62,439,389,5
kieu_1/IMG_20200629_082906.jpg,584,64,728,402,A
kieu_1/IMG_20200629_082906.jpg,730,62,874,405,B
kieu_1/IMG_20200629_082906.jpg,85,408,231,713,0
kieu_1/IMG_20200629_082906.jpg,273,405,386,721,1
kieu_1/IMG_20200629_082906.jpg,421,413,569,722,6
kieu_1/IMG_20200629_082906.jpg,654,425,794,733,3
kieu_1/IMG_20200629_082906.jpg,825,421,978,737,5
kieu_1/IMG_20200629_082910.jpg,175,85,357,446,6
kieu_1/IMG_20200629_082910.jpg,356,82,516,435,3
kieu_1/IMG_20200629_082910.jpg,659,83,834,441,P
kieu_1/IMG_20200629_082910.jpg,864,71,994,445,1
kieu_1/IMG_20200629_082910.jpg,85,474,264,821,2
kieu_1/IMG_20200629_082910.jpg,277,464,462,821,2
kieu_1/IMG_20200629_082910.jpg,495,473,657,824,6
kieu_1/IMG_20200629_082910.jpg,739,461,915,831,8
kieu_1/IMG_20200629_082910.jpg,965,455,1100,830,1
kieu_1/IMG_20200629_082935.jpg,129,51,265,330,6
kieu_1/IMG_20200629_082935.jpg,268,52,392,336,0
kieu_1/IMG_20200629_082935.jpg,515,62,647,344,S
kieu_1/IMG_20200629_082935.jpg,647,60,781,350,4
kieu_1/IMG_20200629_082935.jpg,139,362,276,627,3
kieu_1/IMG_20200629_082935.jpg,302,351,445,638,5
kieu_1/IMG_20200629_082935.jpg,473,361,607,638,2
